"Date","ZCTA5CE10","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-04-30,"75966","TX",,"Newton","Newton",12289,1082,-0.0154686078252957,-0.0181488203266788,0.0484496124031008,993
2015-04-30,"93591","CA","Los Angeles","Los Angeles","Palmdale",12290,1150,0.00612423447069116,0.0397830018083183,0.043557168784029,2038
2015-04-30,"62239","IL","St. Louis","Saint Clair","Dupo",12291,832,-0.037037037037037,-0.0314318975552969,-0.0480549199084668,1380
2015-04-30,"12816","NY","Glens Falls","Washington","Town of Cambridge",12292,1632,0.00307314074984634,-0.0138972809667674,-0.0831460674157303,1167
2015-04-30,"44438","OH","Youngstown","Trumbull","Masury",12293,705,0.00427350427350427,-0.00141643059490085,0.0506706408345753,1710
2015-04-30,"24361","VA","Kingsport","Washington","Meadowview",12294,1107,0.010958904109589,0.0202764976958525,0.0433553251649387,1263
2015-04-30,"72046","AR","Little Rock","Lonoke","England",12295,890,0.00792751981879955,0.0446009389671361,0.0840438489646772,1528
2015-04-30,"76557","TX","Waco","McLennan","Moody",12296,1083,0.0159474671669794,0.0393474088291747,0.0373563218390805,1154
2015-04-30,"01373","MA","Springfield","Franklin","South Deerfield",12297,1843,0.00545553737043099,0.0255982192543127,0.0784084259801053,1540
2015-04-30,"92372","CA","Riverside","San Bernardino","Pinon Hills",12298,1264,0.00158478605388273,-0.00628930817610063,0.00717131474103586,1537
2015-04-30,"60461","IL","Chicago","Cook","Olympia Fields",12299,1982,-0.0104842735896156,0.0248190279214064,0.0806979280261723,1828
2015-04-30,"81652","CO",,"Garfield","Silt",12300,1370,-0.0058055152394775,0.0363086232980333,0.0821484992101106,1935
2015-04-30,"31089","GA",,"Washington","Tennille",12301,930,-0.00107411385606874,0.0186199342825849,-0.00428265524625268,702
2015-04-30,"13830","NY",,"Chenango","Town of Oxford",12302,1324,-0.0119402985074627,-0.0433526011560694,-0.0328707085463842,992
2015-04-30,"31811","GA","Columbus","Harris","Hamilton",12303,1278,0.00235294117647059,0.0183266932270916,0.0676691729323308,1235
2015-04-30,"52361","IA",,"Iowa","Williamsburg",12304,1210,-0.0170593013809911,0.0134003350083752,0.0530896431679721,1052
2015-04-30,"53033","WI","Milwaukee","Washington","Richfield",12305,1573,-0.00506008855154965,0.0220922677063028,0.0115755627009646,2351
2015-04-30,"61025","IL",,"Jo Daviess","East Dubuque",12306,1225,0.00409836065573771,-0.0112994350282486,-0.103221083455344,1226
2015-04-30,"92539","CA","Riverside","Riverside","Anza",12307,1419,0.00211864406779661,0.000705218617771509,-0.000704225352112676,412
2015-04-30,"15045","PA","Pittsburgh","Allegheny","Glassport",12308,791,-0.00252206809583859,0.0232858990944373,-0.0318237454100367,1655
2015-04-30,"20141","VA","Washington","Loudoun","Round Hill",12309,2255,0.00133214920071048,-0.00177069499778663,0.00311387900355872,2036
2015-04-30,"46928","IN","Marion","Grant","Fairmount",12310,773,0.00782268578878748,0.0104575163398693,-0.02275600505689,1559
2015-04-30,"10983","NY","New York","Rockland","Tappan",12311,2446,-0.0048820179007323,0.002870028700287,-0.0541376643464811,1810
2015-04-30,"62684","IL","Springfield","Sangamon","Sherman",12312,1403,0.0525131282820705,0.137875101378751,0.0767459708365311,1608
2015-04-30,"96064","CA",,"Siskiyou","Montague",12313,1235,-0.00962309542902967,-0.0252565114443567,-0.0321316614420063,1401
2015-04-30,"72021","AR",,"Monroe","Brinkley",12314,762,0.00395256916996047,0.0173564753004005,0.0255720053835801,720
2015-04-30,"21161","MD","Baltimore","Harford","Whitehall",12315,2015,0.0105315947843531,0.0359897172236504,0.0207700101317123,1729
2015-04-30,"41522","KY",,"Pike","Regina",12316,772,-0.00643500643500644,-0.0190597204574333,-0.104408352668213,430
2015-04-30,"37370","TN","Athens","McMinn","Riceville",12317,1105,-0.000904159132007233,0.010054844606947,0.0356138706654171,1498
2015-04-30,"54646","WI",,"Juneau","Necedah",12318,991,-0.00999000999000999,0.0269430051813472,0.0655913978494624,1076
2015-04-30,"32145","FL","Jacksonville","Saint Johns","Hastings",12319,1218,-0.00571428571428571,0.0116279069767442,0.0183946488294314,658
2015-04-30,"61883","IL","Danville","Vermilion","Westville",12320,1140,-0.0034965034965035,-0.000876424189307625,-0.0256410256410256,1511
2015-04-30,"76633","TX","Waco","McLennan","China Spring",12321,1399,0.0317109144542773,0.0921155347384856,-0.0345065562456867,1314
2015-04-30,"02825","RI","Providence","Providence","Foster",12322,1777,0.00965909090909091,0.0640718562874251,0.155396618985696,1560
2015-04-30,"42724","KY","Elizabethtown","Hardin","Cecilia",12323,1001,0.0030060120240481,0.0287769784172662,0.016243654822335,1157
2015-04-30,"19551","PA","Reading","Berks","Robesonia",12324,1344,-0.0146627565982405,-0.0103092783505155,0.020501138952164,1325
2015-04-30,"42348","KY","Owensboro","Hancock","Hawesville",12325,871,0.00577367205542725,0.0139697322467986,-0.0113507377979569,1015
2015-04-30,"01719","MA","Boston","Middlesex","Boxboro",12326,2443,0.00950413223140496,0.000819336337566571,0.0382490437739057,1750
2015-04-30,"44280","OH","Cleveland","Medina","Valley City",12327,1572,0.036255767963085,0.0102827763496144,0.038995373430271,1608
2015-04-30,"53032","WI","Beaver Dam","Dodge","Horicon",12328,1076,-0.0182481751824818,-0.0146520146520147,0.0621915103652517,1751
2015-04-30,"26601","WV",,"Braxton","Sutton",12329,903,-0.0414012738853503,-0.0915492957746479,-0.0709876543209877,1600
